3,СМЕТКИ ЗА СТОКОВО - МАТЕРИАЛНИ ЗАПАСИ,,,,,
30,Суровини и Материали,,,,,
301,Доставки,Активна,,,,
302,Основни,Активна,FIFO,Склад&nbsp;(3),Суровини и материали&nbsp;(302),
303,Спомагателни,Активна,FIFO,Склад&nbsp;(3),Суровини и материали&nbsp;(302),
304,Отпадъци и опаковки - Външен пазар,Активна,FIFO,Склад&nbsp;(3),Отпадъци от опаковки&nbsp;(304),
305,Амбалаж,Активна,FIFO,Склад&nbsp;(3),"Амбалаж, инструменти и други суровини и материали&nbsp;(309)",
306,Инструменти,Активна,FIFO,Склад&nbsp;(3),"Амбалаж, инструменти и други суровини и материали&nbsp;(309)",
309,"Други материали, соц. р-ди по КТ, авточасти",Активна,FIFO,Склад&nbsp;(3),"Амбалаж, инструменти и други суровини и материали&nbsp;(309)",
32,Продукция и Стоки,,,,,
321,Стоки за търговия,Активна,FIFO,Склад&nbsp;(3),Стоки&nbsp;(321),
322,Стандартни продукти,Активна,FIFO,Склад&nbsp;(3),Продукти (стандартни)&nbsp;(303),
323,Изделия по поръчка,Активна,FIFO,Склад&nbsp;(3),Продукти (по поръчка)&nbsp;(305),
4,Сметки за разчети,,,,,
40,Доставчици и свързани с тях сметки,,,,,
401,Задължения към доставчици,,,,,
4011,Доставчици,Пасивна,,Доставчици&nbsp;(102),,
4012,Доставчици по ОП Конкурентоспособност,Пасивна,,Доставчици&nbsp;(102),,
402,Вземания от доставчици по аванси,,,,,
4021,Доставчици по аванси,Активна,,Доставчици&nbsp;(102),,
4022,Доставчици по аванси по ОП Конкурентоспособност,Активна,,Доставчици&nbsp;(102),,
403,Задължения към доставчици по търговски кредити,Пасивна,,Доставчици&nbsp;(102),,
404,Задължения към доставчици по доставки при определени условия,Пасивна,,Доставчици&nbsp;(102),,
405,Задължения към доставчици свързани лица,Пасивна,,Доставчици&nbsp;(102),,
406,Разчети по прихванати суми,Пасивна,,Доставчици&nbsp;(102),,
409,Други задължения към доставчици,Пасивна,,Доставчици&nbsp;(102),,
41,Клиенти и свързани с тях сметки,,,,,
411,Вземания от клиенти,Активна,,Клиенти&nbsp;(103),,
412,Задължения към клиенти по аванси,Пасивна,,Клиенти&nbsp;(103),,
413,Вземания от клиенти по търговски кредити,Активна,,Клиенти&nbsp;(103),,
414,Вземания от клиенти по продажби при определени условия - факторинг и др.,Активна,,Клиенти&nbsp;(103),,
415,Вземания от клиенти свързани лица,Активна,,Клиенти&nbsp;(103),,
419,Други вземания от клиенти,Активна,,Клиенти&nbsp;(103),,
42,Персонал и Съдружници,,,,,
421,Задължения към персонал,Пасивна,,Трудови договори (от Персонал)&nbsp;(120),,
422,Разчети с подотчетни лица,Смесена,,Подотчетни лица&nbsp;(106),,
423,Задължения по неизползвани отпуски,Пасивна,,Трудови договори (от Персонал)&nbsp;(120),,
424,Вземания от съучастия,Активна,,"Дъщерни, асоциирани и смесени предприятия&nbsp;(107)",,
425,Задължения за съучастия,Пасивна,,Съдружници&nbsp;(100),,
426,Вземания по записани дялови вноски,Активна,,Съдружници&nbsp;(100),,
429,Други разчети с персонала и съдружниците,Смесена,,"Разни: доверители, гаранции, застраховане, др.&nbsp;(109)",,
44,"Вземания по Липси, Начети и Съдебни спорове",,,,,
441,Вземания по рекламации,Активна,,Доставчици&nbsp;(102),,
442,Вземания по липси и начети,Активна,,Подотчетни лица&nbsp;(106),,
443,Ценови разлики по липси и начети,Пасивна,,Подотчетни лица&nbsp;(106),,
444,Вземания по съдебни спорове,Активна,,"Разни: доверители, гаранции, застраховане, др.&nbsp;(109)",,
445,Присъдени вземания,Активна,,"Разни: доверители, гаранции, застраховане, др.&nbsp;(109)",,
45,Разчети с бюджета и с ведомства,,,,,
451,Разчети с общините,Смесена,,,,
4521,Разчети за Годишен корпоративен данък,Смесена,,Година&nbsp;(4),,
4522,Разчети за Авансов корпоративен данък,Смесена,,,,
4531,Начислен ДДС за покупките,Активна,,,,
4532,Начислен ДДС за продажбите,Пасивна,,,,
4533,Начислен ДДС по ВОП,Смесена,,,,
4534,Начислен ДДС отпадъци от опаковки външен пазар,Смесена,,,,
4538,ДДС за възстановяване,Активна,,,,
4539,ДДС за внасяне,Пасивна,,,,
454,Разчети за данъци върху доходи на физически лица,Смесена,,,,
456,Разчети за акцизи,Смесена,,,,
457,Разчети с митници,Смесена,,,,
459,Данъчни разчети с бюджета,Смесена,,Видове данъци и такси&nbsp;(5),,
46,Разчети с осигурители,,,,,
461,Разчети за задължително социално осигуряване,Смесена,,,,
462,Разчети за доброволно социално осигуряване,Смесена,,,,
463,Разчети за здравно осигуряване,Смесена,,,,
469,Други разчети с осигурители,Смесена,,,,
49,Разни дебитори и кредитори,,,,,
491,Разчети с Доверители,Смесена,,"Разни: доверители, гаранции, застраховане, др.&nbsp;(109)",,
492,Разчети за гаранции,Смесена,,"Разни: доверители, гаранции, застраховане, др.&nbsp;(109)",,
493,Разчети със собственици,Смесена,,Съдружници&nbsp;(100),,
494,Разчети по отсрочени данъци,Смесена,,,,
495,Разчети по застраховане,Смесена,,"Разни: доверители, гаранции, застраховане, др.&nbsp;(109)",,
496,Разчети по лихви,Смесена,,,,
497,Провизии,Пасивна,,,,
498,Други дебитори,Активна,,Дебитори&nbsp;(105),,
