2417,"Амортизация на офис обзавеждане","transit",,"Дълготрайни активи&nbsp;(200)",,,2417,"active"
2419,"Амортизация на други ДМА","transit",,"Дълготрайни активи&nbsp;(200)",,,2419,"active"
2421,"Амортизация на продукти от развойна дейност","transit",,"Дълготрайни НЕматериални активи&nbsp;(210)",,,2421,"active"
2422,"Амортизация на софтуерни продукти","transit",,"Дълготрайни НЕматериални активи&nbsp;(210)",,,2422,"active"
2429,"Амортизация на други ДНА","transit",,"Дълготрайни НЕматериални активи&nbsp;(210)",,,2429,"active"
2431,"Амортизация на  инвестиционни имоти","transit",,,,,2431,"active"
2433,"Амортизация на положителна репутация","transit",,,,,2433,"active"
25,"Корекции при обезценка",,,,,,25,"active"
251,"Корекция при обезценка на вземания","transit",,,,,251,"active"
252,"Корекция при обезценка на други активи","transit",,,,,252,"active"
3,"СМЕТКИ ЗА СТОКОВО - МАТЕРИАЛНИ ЗАПАСИ",,,,,,3,"active"
30,"Суровини и материали",,,,,,30,"closed"
301,"Доставки","active",,"Сделки&nbsp;(400)",,,301,"closed"
304,"Отпадъци от опаковки - външен пазар","active",,"Складове&nbsp;(3)","Артикули&nbsp;(300)",,304,"closed"
305,"Амбалаж","active","WAC","Складове&nbsp;(3)","Артикули&nbsp;(300)",,305,"closed"
306,"Инструменти","active","WAC","Складове&nbsp;(3)","Артикули&nbsp;(300)",,306,"closed"
309,"Други материали, соц. р-ди по КТ, авточасти","active","WAC","Складове&nbsp;(3)","Артикули&nbsp;(300)",,309,"closed"
32,"Суровини, материали, продукция и стоки",,,,,,32,"active"
321,"Суровини, материали, продукция, стоки","active","WAC","Складове&nbsp;(3)","Артикули&nbsp;(300)",,321,"active"
323,"СМЗ на отговорно пазене","active","WAC","Контрагенти&nbsp;(100)","Артикули&nbsp;(300)",,323,"active"
4,"Сметки за разчети",,,,,,4,"active"
40,"Доставчици и свързани с тях сметки",,,,,,40,"active"
401,"Задължения към доставчици","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",401,"active"
402,"Вземания от доставчици по аванси","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",402,"active"
403,"Задължения към доставчици по търговски кредити","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",403,"active"
404,"Задължения към доставчици по доставки при определени условия","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",404,"active"
405,"Задължения към доставчици свързани лица","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",405,"active"
406,"Разчети по прихванати суми","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",406,"active"
409,"Други задължения към доставчици","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",409,"active"
41,"Клиенти и свързани с тях сметки",,,,,,41,"active"
411,"Вземания от клиенти","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",411,"active"
412,"Задължения към клиенти (по аванси)","passive",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",412,"active"
413,"Вземания от клиенти по търговски кредити","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",413,"active"
414,"Вземания от клиенти по продажби при определени условия - факторинг и др.","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",414,"active"
415,"Вземания от клиенти свързани лица","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",415,"active"
419,"Други вземания от клиенти","active",,"Контрагенти&nbsp;(100)","Сделки&nbsp;(400)","Валути&nbsp;(1)",419,"active"
42,"Персонал и Съдружници",,,,,,42,"active"
421,"Задължения към персонал","passive",,"Трудови договори (от Персонал)&nbsp;(120)",,,421,"active"
422,"Разчети с подотчетни лица","dynamic",,"Лица&nbsp;(102)","Сделки&nbsp;(400)","Валути&nbsp;(1)",422,"active"
423,"Задължения по неизползвани отпуски","passive",,"Трудови договори (от Персонал)&nbsp;(120)",,,423,"active"
424,"Вземания от съучастия","active",,"Фирми&nbsp;(101)","Година&nbsp;(4)",,424,"active"
425,"Задължения за съучастия","passive",,"Контрагенти&nbsp;(100)","Година&nbsp;(4)",,425,"active"
426,"Вземания по записани дялови вноски","active",,"Контрагенти&nbsp;(100)",,,426,"active"
