A,"СЕЛСКО ГОРСКО И РИБНО СТОПАНСТВО"
10.71,"Производство на хляб хлебни и пресни сладкарски изделия"
10.72,"Производство на сухари бисквити и сухи сладкарски изделия"
10.73,"Производство на макарони юфка кус кус и подобни макаронени изделия"
10.8,"Производство на други хранителни продукти"
10.81,"Производство на захар"
10.82,"Производство на какао шоколадови и захарни изделия"
10.83,"Преработка на кафе и чай"
10.84,"Производство на хранителни подправки и овкусители"
10.85,"Производство на готови ястия"
10.86,"Производство на детски диетични и други хомогенизирани храни"
10.89,"Производство на други хранителни продукти некласифицирани другаде"
10.9,"Производство на готови храни за животни"
10.91,"Производство на готови храни фуражи за селскостопански животни"
10.92,"Производство на готови храни за домашни любимци"
11,"Производство на напитки"
11.0,"Производство на напитки"
11.01,"Производство на спиртни напитки"
11.02,"Производство на вина от грозде"
11.03,"Производство на други ферментирали напитки"
11.04,"Производство на други недестилирани алкохолни напитки"
11.05,"Производство на пиво"
11.06,"Производство на малц"
11.07,"Производство на безалкохолни напитки минерални и други бутилирани води"
12,"Производство на тютюневи изделия"
12.0,"Производство на тютюневи изделия"
12.00,"Производство на тютюневи изделия"
13,"Производство на текстил и изделия от текстил без облекло"
13.1,"Подготовка и предене на текстилни влакна"
13.10,"Подготовка и предене на текстилни влакна"
13.2,"Производство на тъкани"
13.20,"Производство на тъкани"
13.3,"Облагородяване на прежди платове и облекло"
13.30,"Облагородяване на прежди платове и облекло"
13.9,"Производство на други текстилни изделия"
13.91,"Производство на плетени платове"
13.92,"Производство на конфекционирани текстилни изделия без облекло"
13.93,"Производство на килими и текстилни подови настилки"
13.94,"Производство на канапи въжета мрежи и изделия от тях"
13.95,"Производство на нетъкани текстилни изделия без облекло"
13.96,"Производство на други текстилни изделия за техническа и производствена употреба"
13.99,"Производство на други текстилни изделия некласифицирани другаде"
14,"Производство на облекло"
14.1,"Производство на облекло без кожухарско"
14.11,"Производство на облекло от обработени меки кожи"
14.12,"Производство на работно облекло"
14.13,"Производство на горно облекло без работно"
