A,"СЕЛСКО ГОРСКО И РИБНО СТОПАНСТВО"
46.90,"Неспециализирана търговия на едро"
47,"Търговия на дребно без търговията с автомобили и мотоциклети"
47.1,"Търговия на дребно в неспециализирани магазини"
47.11,"Търговия на дребно в неспециализирани магазини предимно с хранителни стоки напитки и тютюневи изделия"
47.19,"Търговия на дребно в неспециализирани магазини с разнообразни стоки"
47.2,"Търговия на дребно в специализирани магазини с хранителни стоки напитки и тютюневи изделия"
47.21,"Търговия на дребно с плодове и зеленчуци"
47.22,"Търговия на дребно с месо и месни продукти"
47.23,"Търговия на дребно с риба и други морски храни"
47.24,"Търговия на дребно с хляб хлебни захарни и сладкарски изделия"
47.25,"Търговия на дребно с напитки"
47.26,"Търговия на дребно с тютюневи изделия"
47.29,"Търговия на дребно с други хранителни стоки"
47.3,"Търговия на дребно с автомобилни горива и смазочни материали"
47.30,"Търговия на дребно с автомобилни горива и смазочни материали"
47.4,"Търговия на дребно в специализирани магазини с компютърна и комуникационна техника и битова електроника"
47.41,"Търговия на дребно с компютри периферни устройства за тях и програмни продукти"
47.42,"Търговия на дребно с телефонни апарати и други устройства за далекосъобщения"
47.43,"Търговия на дребно с битова електроника"
47.5,"Търговия на дребно в специализирани магазини с текстил железария стоки за обзавеждане и битови електроуред"
47.51,"Търговия на дребно с текстил и галантерийни стоки"
94.2,"Дейност на синдикални организации"
47.52,"Търговия на дребно с железария бои и плоско стъкло"
47.53,"Търговия на дребно с тапети килими и други стенни и подови покрития"
47.54,"Търговия на дребно с битови електроуреди"
47.59,"Търговия на дребно с мебели осветители и с други стоки за бита некласифицирани другаде"
47.6,"Търговия на дребно в специализирани магазини със стоки предназначени за свободното време"
47.61,"Търговия на дребно с книги"
47.62,"Търговия на дребно с вестници и канцеларски стоки"
47.63,"Търговия на дребно с аудио и видео записи"
47.64,"Търговия на дребно със спортни стоки"
47.65,"Търговия на дребно с игри и играчки"
47.7,"Търговия на дребно в специализирани магазини с други нехранителни стоки"
47.71,"Търговия на дребно с облекло"
47.72,"Търговия на дребно с обувки и кожени изделия"
47.73,"Търговия на дребно с лекарства и други фармацевтични стоки"
47.74,"Търговия на дребно с медицински и ортопедични стоки"
47.75,"Търговия на дребно с парфюмерийни и козметични стоки и тоалетни принадлежности"
47.76,"Търговия на дребно с цветя растения семена торове домашни любимци и храни за тях"
47.77,"Търговия на дребно с часовници и бижутерия"
47.78,"Търговия на дребно с други нехранителни стоки некласифицирана другаде"
47.79,"Търговия на дребно в магазини с употребявани стоки"
47.8,"Търговия на дребно на открити щандове и пазари"
47.81,"Търговия на дребно на открити щандове и пазари с хранителни стоки напитки и тютюневи изделия"
47.82,"Търговия на дребно на открити щандове и пазари с текстил облекло и обувки"
47.89,"Търговия на дребно на открити щандове и пазари с други стоки"
47.9,"Търговия на дребно извън търговски обекти"
47.91,"Търговия на дребно чрез поръчки по пощата телефона или Интернет"
47.99,"Търговия на дребно извън търговски обекти некласифицирана другаде"
H,"ТРАНСПОРТ СКЛАДИРАНЕ И ПОЩИ"
49,"Сухопътен транспорт"
49.1,"Пътнически железопътен транспорт междуселищен"
49.10,"Пътнически железопътен транспорт междуселищен"
49.2,"Товарен железопътен транспорт"
49.20,"Товарен железопътен транспорт"
49.3,"Друг пътнически сухопътен транспорт"
49.31,"Пътнически градски и крайградски транспорт"
49.32,"Пътнически таксиметров транспорт"
49.39,"Друг пътнически сухопътен транспорт некласифициран другаде"
49.4,"Товарен автомобилен транспорт и услуги по преместване"
49.41,"Товарен автомобилен транспорт"
49.42,"Услуги по преместване"
49.5,"Тръбопроводен транспорт"
49.50,"Тръбопроводен транспорт"
50,"Воден транспорт"
50.1,"Пътнически морски и крайбрежен транспорт"
50.10,"Пътнически морски и крайбрежен транспорт"
50.2,"Товарен морски и крайбрежен транспорт"
50.20,"Товарен морски и крайбрежен транспорт"
50.3,"Пътнически транспорт по вътрешни водни пътища"
50.30,"Пътнически транспорт по вътрешни водни пътища"
50.4,"Товарен транспорт по вътрешни водни пътища"
50.40,"Товарен транспорт по вътрешни водни пътища"
51,"Въздушен транспорт"
51.1,"Пътнически въздушен транспорт"
51.10,"Пътнически въздушен транспорт"
51.2,"Товарен въздушен транспорт космически транспорт"
51.21,"Товарен въздушен транспорт"
51.22,"Космически транспорт"
52,"Складиране на товари и спомагателни дейности в транспорта"
52.1,"Складиране и съхраняване на товари"
52.10,"Складиране и съхраняване на товари"
52.2,"Спомагателни дейности в транспорта"
94.20,"Дейност на синдикални организации"
52.21,"Експлоатация на инфраструктурата в сухопътния транспорт"
52.22,"Спомагателни дейности във водния транспорт"
52.23,"Спомагателни дейности във въздушния транспорт"
52.24,"Обработка на товари"
52.29,"Други спомагателни дейности в транспорта"
53,"Пощенски и куриерски дейности"
53.1,"Дейност на пощи предоставящи универсална пощенска услуга"
53.10,"Дейност на пощи предоставящи универсална пощенска услуга"
53.2,"Други пощенски и куриерски дейности"
53.20,"Други пощенски и куриерски дейности"
I,"ХОТЕЛИЕРСТВО И РЕСТОРАНТЬОРСТВО"
55,"Хотелиерство"
55.1,"Хотели и подобни места за настаняване"
55.10,"Хотели и подобни места за настаняване"
55.2,"Туристическо и друго краткосрочно настаняване"
55.20,"Туристическо и друго краткосрочно настаняване"
55.3,"Къмпинги и терени за каравани и къмпинг автомобили"
55.30,"Къмпинги и терени за каравани и къмпинг автомобили"
55.9,"Други места за настаняване"
55.90,"Други места за настаняване"
56,"Ресторантьорство"
56.1,"Дейност на ресторанти и заведения за бързо обслужване"
56.10,"Дейност на ресторанти и заведения за бързо обслужване"
56.2,"Приготвяне и доставяне на храна"
56.21,"Приготвяне и доставяне на храна по конкретен повод"
56.29,"Други дейности по приготвяне и доставяне на храна"
56.3,"Дейност на питейни заведения"
56.30,"Дейност на питейни заведения"
J,"СЪЗДАВАНЕ И РАЗПРОСТРАНЕНИЕ НА ИНФОРМАЦИЯ И ТВОРЧЕСКИ ПРОДУКТИ ДАЛЕКОСЪОБЩЕНИЯ"
58,"Издателска дейност"
58.1,"Издаване на книги периодични издания и друга издателска дейност"
58.11,"Издаване на книги"
58.12,"Издаване на указатели справочници и адресни списъци"
58.13,"Издаване на вестници"
58.14,"Издаване на списания и други периодични издания"
58.19,"Друга издателска дейност"
58.2,"Издаване на програмни продукти"
58.21,"Издаване на компютърни игри"
58.29,"Издаване на други програмни продукти"
59,"Производство на филми и телевизионни предавания звукозаписване и издаване на музика"
59.1,"Производство и разпространение на филми и телевизионни предавания"
59.11,"Производство на филми и телевизионни предавания"
59.12,"Технически дейности свързани с производство на филми и телевизионни предавания постпродукция"
59.13,"Разпространение на филми и телевизионни предавания"
59.14,"Прожектиране на филми"
59.2,"Звукозаписване и издаване на музика"
59.20,"Звукозаписване и издаване на музика"
60,"Радио и телевизионна дейност"
60.1,"Създаване и излъчване на радиопрограми"
60.10,"Създаване и излъчване на радиопрограми"
60.2,"Създаване и излъчване на телевизионни програми"
60.20,"Създаване и излъчване на телевизионни програми"
61,"Далекосъобщения"
61.1,"Далекосъобщителна дейност чрез фиксирани мрежи"
61.10,"Далекосъобщителна дейност чрез фиксирани мрежи"
61.2,"Далекосъобщителна дейност по безжичен път"
61.20,"Далекосъобщителна дейност по безжичен път"
61.3,"Спътникова далекосъобщителна дейност"
61.30,"Спътникова далекосъобщителна дейност"
61.9,"Други далекосъобщителни дейности"
61.90,"Други далекосъобщителни дейности"
62,"Дейности в областта на информационните технологии"
62.0,"Дейности в областта на информационните технологии"
62.01,"Компютърно програмиране"
62.02,"Консултантска дейност по информационни технологии"
94.9,"Дейност на други организации с нестопанска цел"
62.03,"Управление и обслужване на компютърни средства и системи"
62.09,"Други дейности в областта на информационните технологии"
63,"Информационни услуги"
63.1,"Обработка на данни хостинг и подобни дейности портали"
63.11,"Обработка на данни хостинг и подобни дейности"
63.12,"портали"
63.9,"Други информационни услуги"
63.91,"Дейност на информационни агенции"
63.99,"Други информационни услуги некласифицирани другаде"
K,"ФИНАНСОВИ И ЗАСТРАХОВАТЕЛНИ ДЕЙНОСТИ"
64,"Предоставяне на финансови услуги без застраховане и допълнително пенсионно осигуряване"
64.1,"Парично посредничество"
64.11,"Дейност на централната банка"
64.19,"Друго парично посредничество"
64.2,"Дейност на холдингови дружества"
64.20,"Дейност на холдингови дружества"
64.3,"Фондове за инвестиране и подобни финансови субекти"
64.30,"Фондове за инвестиране и подобни финансови субекти"
64.9,"Предоставяне на други финансови услуги без застраховане и допълнително пенсионно осигуряване"
64.91,"Финансов лизинг"
64.92,"Други форми на предоставяне на кредит"
64.99,"Предоставяне на други финансови услуги без застраховане и допълнително пенсионно осигуряване некласифицира"
65,"Застраховане презастраховане и допълнително пенсионно осигуряване"
65.1,"Застраховане"
65.11,"Животозастраховане"
65.12,"Друго застраховане без животозастраховане"
65.2,"Презастраховане"
65.20,"Презастраховане"
65.3,"Допълнително пенсионно осигуряване"
65.30,"Допълнително пенсионно осигуряване"
66,"Спомагателни дейности във финансовите услуги и застраховането"
66.1,"Спомагателни дейности във финансовите услуги без застраховане и допълнително пенсионно осигуряване"
66.11,"Управление на финансови пазари"
66.12,"Посредническа дейност по сделки с ценни книжа и стоки"
66.19,"Други спомагателни дейности във финансовите услуги без застраховане и допълнително пенсионно осигуряване"
66.2,"Спомагателни дейности в застраховането и допълнителното пенсионно осигуряване"
66.21,"Оценяване на застрахователни рискове и щети"
66.22,"Дейности на застрахователни брокери и агенти"
66.29,"Други спомагателни дейности в застраховането и допълнителното пенсионно осигуряване"
66.3,"Управление на фондове"
66.30,"Управление на фондове"
L,"ОПЕРАЦИИ С НЕДВИЖИМИ ИМОТИ"
68,"Операции с недвижими имоти"
68.1,"Покупка и продажба на собствени недвижими имоти"
68.10,"Покупка и продажба на собствени недвижими имоти"
68.2,"Даване под наем и експлоатация на собствени недвижими имоти"
68.20,"Даване под наем и експлоатация на собствени недвижими имоти"
68.3,"Посредническа дейност по операции с недвижими имоти"
68.31,"Дейност на агенции за недвижими имоти"
68.32,"Управление на недвижими имоти"
M,"ПРОФЕСИОНАЛНИ ДЕЙНОСТИ И НАУЧНИ ИЗСЛЕДВАНИЯ"
69,"Юридически и счетоводни дейности"
69.1,"Юридически дейности"
69.10,"Юридически дейности"
69.2,"Счетоводни и одиторски дейности данъчни консултации"
69.20,"Счетоводни и одиторски дейности данъчни консултации"
70,"Дейност на централни офиси консултантски дейности в областта на управлението"
70.1,"Дейност на централни офиси"
70.10,"Дейност на централни офиси"
70.2,"Консултантски дейности в областта на управлението"
70.21,"Консултантска дейност по връзки с обществеността"
70.22,"Консултантска дейност по стопанско и друго управление"
71,"Архитектурни и инженерни дейности технически изпитвания и анализи"
71.1,"Архитектурни и инженерни дейности"
71.11,"Архитектурни дейности"
71.12,"Инженерни дейности и технически консултации"
71.2,"Технически изпитвания и анализи"
71.20,"Технически изпитвания и анализи"
72,"Научноизследователска и развойна дейност"
72.1,"Научноизследователска и развойна дейност в областта на естествените медицинските селскостопанските и техни"
72.11,"Научноизследователска и развойна дейност в областта на биотехнологиите"
72.19,"Научноизследователска и развойна дейност в областта на естествените медицинските селскостопанските и техни"
72.2,"Научноизследователска и развойна дейност в областта на обществените и хуманитарните науки"
72.20,"Научноизследователска и развойна дейност в областта на обществените и хуманитарните науки"
73,"Рекламна дейност и проучване на пазари"
73.1,"Рекламна дейност"
73.11,"Дейност на рекламни агенции"
73.12,"Дейности по продажба на медийно време и място за реклама"
73.2,"Проучване на пазари и изследване на общественото мнение"
73.20,"Проучване на пазари и изследване на общественото мнение"
74,"Други професионални дейности"
74.1,"Специализирани дейности в областта на дизайна"
74.10,"Специализирани дейности в областта на дизайна"
74.2,"Дейности в областта на фотографията"
74.20,"Дейности в областта на фотографията"
74.3,"Преводаческа дейност"
74.30,"Преводаческа дейност"
74.9,"Други професионални дейности некласифицирани другаде"
74.90,"Други професионални дейности некласифицирани другаде"
75,"Ветеринарномедицинска дейност"
75.0,"Ветеринарномедицинска дейност"
75.00,"Ветеринарномедицинска дейност"
N,"АДМИНИСТРАТИВНИ И СПОМАГАТЕЛНИ ДЕЙНОСТИ"
77,"Даване под наем и оперативен лизинг"
77.1,"Даване под наем и оперативен лизинг на автомобили"
77.11,"Даване под наем и оперативен лизинг на леки и лекотоварни автомобили без водач"
77.12,"Даване под наем и оперативен лизинг на тежкотоварни автомобили без водач"
77.2,"Даване под наем и оперативен лизинг на лични и домакински вещи"
77.21,"Даване под наем и оперативен лизинг на оборудване и екипировка за спорт и развлечения"
77.22,"Даване под наем на видеокасети и дискове"
77.29,"Даване под наем и оперативен лизинг на други лични и домакински вещи"
77.3,"Даване под наем и оперативен лизинг на други машини и оборудване със стопанско предназначение"
77.31,"Даване под наем и оперативен лизинг на машини и оборудване за селското и горско стопанство без оператор"
77.32,"Даване под наем и оперативен лизинг на машини и оборудване за строителството без оператор"
77.33,"Даване под наем и оперативен лизинг на офис мебели и техника вкл. компютри без оператор"
77.34,"Даване под наем и оперативен лизинг на плавателни съдове без екипаж"
77.35,"Даване под наем и оперативен лизинг на въздухоплавателни средства без екипаж"
77.39,"Даване под наем и оперативен лизинг на други машини и оборудване със стопанско предназначение некласифицира"
77.4,"Оперативен лизинг на интелектуална собственост и сходни продукти без обектите на авторско право"
77.40,"Оперативен лизинг на интелектуална собственост и сходни продукти без обектите на авторско право"
78,"Дейности по наемане и предоставяне на работна сила"
78.1,"Посредническа дейност на агенции по наемане на работа"
78.10,"Посредническа дейност на агенции по наемане на работа"
78.2,"Предоставяне на работна сила за временна заетост"
78.20,"Предоставяне на работна сила за временна заетост"
78.3,"Други дейности по предоставяне на работна сила"
78.30,"Други дейности по предоставяне на работна сила"
79,"Туристическа агентска и операторска дейност други дейности свързани с пътувания и резервации"
79.1,"Туристическа агентска и операторска дейност"
79.11,"Туристическа агентска дейност"
79.12,"Туроператорска дейност"
79.9,"Други дейности свързани с пътувания и резервации"
79.90,"Други дейности свързани с пътувания и резервации"
80,"Дейности по охрана и разследване"
80.1,"Частна охранителна дейност без използване на технически системи за сигурност"
80.10,"Частна охранителна дейност без използване на технически системи за сигурност"
80.2,"Дейности в областта на технически системи за сигурност"
80.20,"Дейности в областта на технически системи за сигурност"
80.3,"Дейности по разследване и издирване"
80.30,"Дейности по разследване и издирване"
81,"Дейности по обслужване на сгради и озеленяване"
81.1,"Комплексно обслужване на сгради"
81.10,"Комплексно обслужване на сгради"
81.2,"Дейности по почистване"
81.21,"Неспециализирано вътрешно почистване на сгради"
81.22,"Специализирано почистване на сгради и промишлени обекти"
81.29,"Други дейности по почистване"
81.3,"Оформяне и поддържане на озеленени площи"
81.30,"Оформяне и поддържане на озеленени площи"
82,"Административни офис дейности и друго спомагателно обслужване на стопанската дейност"
82.1,"Административни и спомагателни офис дейности"
82.11,"Комбинирани административни офис дейности"
82.19,"Размножаване изготвяне на документи и други специализирани помощни офис дейности"
82.2,"Дейност на телефонни центрове за услуги"
82.20,"Дейност на телефонни центрове за услуги"
82.3,"Организиране на конгреси и търговски изложения"
82.30,"Организиране на конгреси и търговски изложения"
82.9,"Спомагателно обслужване на стопанската дейност некласифицирано другаде"
82.91,"Дейности по събиране на парични вземания и на финансова информация"
82.92,"Дейности по опаковане и пакетиране"
82.99,"Друго спомагателно обслужване на стопанската дейност некласифицирано другаде"
O,"ДЪРЖАВНО УПРАВЛЕНИЕ"
84,"Държавно управление"
84.1,"Държавно управление с общ икономически и социален характер"
84.11,"Общофункционално управление на държавата на централно и местно равнище"
84.12,"Държавно управление в областта на здравеопазването образованието и други социални дейности"
84.13,"Държавно управление в областта на стопанската дейност"
84.2,"Услуги на държавното управление за обществото като цяло"
84.21,"Външни работи"
84.22,"Отбрана"
84.23,"Правосъдие"
84.24,"Обществен ред и сигурност"
84.25,"Пожарна безопасност и защита при бедствия"
84.3,"Държавно обществено осигуряване"
84.30,"Държавно обществено осигуряване"
P,"ОБРАЗОВАНИЕ"
85,"Образование"
85.1,"Предучилищно образование"
85.10,"Предучилищно образование"
85.2,"Начално образование първи етап на основното образование"
85.20,"Начално образование първи етап на основното образование"
85.3,"Прогимназиално втори етап на основното образование и средно образование"
85.31,"Прогимназиално и средно общо образование"
85.32,"Прогимназиално и средно професионално образование и обучение"
85.4,"Образование след завършено средно образование"
85.41,"Професионално обучение след средно образование но не висше"
85.42,"Висше образование"
85.5,"Други образователни дейности"
85.51,"Неформално обучение в областта на спорта и активния отдих"
85.52,"Неформално обучение в областта на културата"
85.53,"Обучение на водачи на превозни средства"
85.59,"Други образователни дейности некласифицирани другаде"
85.6,"Спомагателни дейности в областта на образованието"
85.60,"Спомагателни дейности в областта на образованието"
Q,"ХУМАННО ЗДРАВЕОПАЗВАНЕ И СОЦИАЛНА РАБОТА"
86,"Хуманно здравеопазване"
86.1,"Дейност на болници"
86.10,"Дейност на болници"
86.2,"Извънболнична лекарска практика"
86.21,"Дейност на общопрактикуващи лекари"
86.22,"Дейност на лекари специалисти"
86.23,"Дейност на лекари по дентална медицина"
86.9,"Други дейности по хуманно здравеопазване"
86.90,"Други дейности по хуманно здравеопазване"
87,"Медико социални грижи с настаняване"
87.1,"Дейност на заведения със здравни грижи"
87.10,"Дейност на заведения със здравни грижи"
87.2,"Социални грижи с настаняване за лица с умствена изостаналост психичноболни и зависими от наркотици"
87.20,"Социални грижи с настаняване за лица с умствена изостаналост психичноболни и зависими от наркотици"
87.3,"Социални грижи с настаняване за възрастни лица и хора с физически увреждания"
87.30,"Социални грижи с настаняване за възрастни лица и хора с физически увреждания"
87.9,"Други социални грижи с настаняване"
87.90,"Други социални грижи с настаняване"
88,"Социална работа без настаняване"
88.1,"Социална работа без настаняване за възрастни лица и хора с увреждания"
88.10,"Социална работа без настаняване за възрастни лица и хора с увреждания"
88.9,"Друга социална работа без настаняване"
88.91,"Дневни грижи за малки деца"
88.99,"Друга социална работа без настаняване некласифицирана другаде"
R,"КУЛТУРА СПОРТ И РАЗВЛЕЧЕНИЯ"
90,"Артистична и творческа дейност"
90.0,"Артистична и творческа дейност"
90.01,"Изпълнителско изкуство"
90.02,"Спомагателни дейности свързани с изпълнителско изкуство"
90.03,"Творческа дейност в областта на литературата и изкуствата"
90.04,"Експлоатация на зали за представления"
91,"Други дейности в областта на културата"
91.0,"Други дейности в областта на културата"
91.01,"Дейност на библиотеки и архиви"
91.02,"Дейност на музеи"
91.03,"Опазване и стопанисване на културно исторически паметници и места"
91.04,"Дейност на ботанически и зоологически градини природни паркове и резервати"
92,"Организиране на хазартни игри"
92.0,"Организиране на хазартни игри"
92.00,"Организиране на хазартни игри"
93,"Спортни и други дейности свързани с развлечения и отдих"
93.1,"Дейности в областта на спорта"
93.11,"Експлоатация на спортни обекти и съоръжения"
93.12,"Дейност на спортни клубове"
93.13,"Дейност на фитнес центрове и зали"
93.19,"Други дейности в областта на спорта"
93.2,"Дейности свързани с развлечения и отдих"
93.21,"Дейност на увеселителни и тематични паркове"
93.29,"Други дейности свързани с развлечения и отдих"
S,"ДРУГИ ДЕЙНОСТИ"
94,"Дейности на организации с нестопанска цел"
94.1,"Дейност на бизнес организации организации на работодатели и професионални организации"
94.11,"Дейност на бизнес организации и организации на работодатели"
94.12,"Дейност на професионални организации"
94.91,"Дейност на религиозни организации"
94.92,"Дейност на политически организации"
94.99,"Дейност на други организации с нестопанска цел некласифицирани другаде"
95,"Ремонт на компютърна техника на лични и домакински вещи"
95.1,"Ремонт на компютърна и комуникационна техника"
95.11,"Ремонт на компютри и периферни устройства за тях"
95.12,"Ремонт на телефонни апарати и други устройства за далекосъобщения"
95.2,"Ремонт на лични и домакински вещи"
95.21,"Ремонт на битова електроника"
95.22,"Ремонт на битови електроуреди и друго оборудване за дома и градината"
95.23,"Поправка на обувки и кожени изделия"
95.24,"Ремонт на мебели и предмети за обзавеждане"
95.25,"Ремонт на часовници и бижута"
95.29,"Ремонт на други лични и домакински вещи"
96,"Други персонални услуги"
96.0,"Други персонални услуги"
96.01,"Пране и химическо чистене"
96.02,"Фризьорски и козметични услуги"
96.03,"Организиране на погребения и свързани с тях услуги"
96.04,"Поддържане на добро физическо състояние"
96.09,"Други персонални услуги некласифицирани другаде"
T,"ДЕЙНОСТИ НА ДОМАКИНСТВА КАТО РАБОТОДАТЕЛИ НЕДИФЕРЕНЦИРАНИ ДЕЙНОСТИ НА ДОМАКИНСТВА ПО ПРОИЗВОДСТВО НА СТОКИ"
97,"Дейности на домакинства като работодатели на домашен персонал"
97.0,"Дейности на домакинства като работодатели на домашен персонал"
97.00,"Дейности на домакинства като работодатели на домашен персонал"
98,"Недиференцирани дейности на домакинства по производство на стоки и услуги за собствено потребление"
98.1,"Недиференцирани дейности на домакинства по производство на стоки за собствено потребление"
98.10,"Недиференцирани дейности на домакинства по производство на стоки за собствено потребление"
98.2,"Недиференцирани дейности на домакинства по производство на услуги за собствено потребление"
98.20,"Недиференцирани дейности на домакинства по производство на услуги за собствено потребление"
U,"ДЕЙНОСТИ НА ЕКСТЕРИТОРИАЛНИ ОРГАНИЗАЦИИ И СЛУЖБИ"
99,"Дейности на екстериториални организации и служби"
99.0,"Дейности на екстериториални организации и служби"
99.00,"Дейности на екстериториални организации и служби"
