1112,"7071","Аташе в задгранично представителство"
1112,"7072","Генерален директор, администрация"
1112,"7073","Председател, постоянна комисия по области на висшето образование, НАОА"
1112,"7074","Председател, постоянна комисия за следакредитационно наблюдение и контрол, НАОА"
1112,"7075","Член на Акредитационен съвет, НАОА"
1112,"7076","Секретар на съвет по чл. 21 от Закона за администрацията"
1112,"7077","Секретар, ЦКБППМН"
1112,"7078","Началник, митнически пункт"
1112,"5079","Главен комисар, пожарна безопасност и спасяване"
1112,"6080","Генерален комисар, МВР"
1112,"6081","Директор на дирекция, полиция"
1112,"9082","Председател, комисия"
1112,"7083","Секретар, община"
1112,"6084","Секретар, район"
1112,"7085","Секретар на Столична община"
1112,"6086","Началник, общинска служба по земеделие"
1112,"6087","Заместник-началник, общинска служба по земеделие"
1112,"6088","Секретар на кметство"
1112,"7089","Главен директор, главна дирекция в Столична община"
1112,"6090","Главен ревизор по безопасността на транспорта"
1112,"6091","Заместник – главен ревизор по безопасността на транспорта"
1112,"7092","Председател, държавна агенция"
1112,"7093","Заместник-председател, държавна агенция"
1112,"5094","Главен, старши и правителствен процесуален агент"
1112,"5095","Говорител на МВнР"
1112,"5096","Стажант-аташе"
1112,"7097","Директор, Районна здравноосигурителна каса"
1112,"7098","Заместник-директор, Районна здравноосигурителна каса"
1112,"5099","Подуправител, Национална здравно-осигурителна каса"
1112,"5100","Заместник-председател, Селскостопанска академия"
1112,"5101","Председател, Селскостопанска академия"
1112,"7102","Главен секретар, администрация на МС"
1112,"9103","Заместник-председател, Сметна палата"
1112,"7104","Главен архитект, Столична община"
1112,"7105","Ръководител на Главния инспекторат"
1112,"7106","Секретар на Националната комисия за борба с трафика на хора"
1112,"7107","Началник на регионална дирекция за национален строителен контрол"
1112,"7108","Директор на Националния инспекторат по образованието"
1113,,"Традиционни старейшини и селски водачи/управници "
1114,,"Висши представители на организации с нестопанска цел"
1114,"9001","Президент, политическа партия"
1114,"9002","Председател, политическа партия"
1114,"6003","Ръководител, местна организация/политическа партия"
1114,"6004","Ръководител, контролен орган на партия"
1114,"6005","Съветник, политическа партия"
1114,"6006","Главен експерт, политическа партия"
1114,"6007","Експерт, политическа партия"
1114,"9008","Председател, организация на работодатели"
1114,"9009","Ръководител, контролен орган на организация на работодателите"
1114,"9010","Председател, организация на работниците и служителите"
1114,"9011","Президент, организация на работниците и служителите"
1114,"9012","Ръководител, контролен орган на организация на работниците и служителите"
1114,"9013","Заместник-председател, организация на работодатели"
1114,"9014","Вицепрезидент, организация на работодатели"
1114,"6015","Главен секретар, организация"
1114,"9016","Председател, браншови и регионални организации"
1114,"9017","Заместник-председател, организация на работниците и служителите"
