Суровини и материали,Суровини и материали влагани в производството,materials
Консумативи,"Стоки и продукти за употреба, консумация",consumables
Амбалаж,Материала за опаковане,wrappage
Резервни части,Резервни части за поддръжка и ремонт,replacements
Канцеларски материали,Материали използвани в администрацията,stationery
Стоки,Стоки за препродажба,goods
Продукти - стандартни,Произвеждани стандартни продукти по каталог,productsStandard
Продукти - по поръчка,Поръчкови (бутикови) продукти,productsOrdered
