"Еднолентов малък","100","72","0","0","1","0","1","0"
"Двулентов малък","100","72","0","2","2","7","1","0"
"А4 - 2 реда","210","148","0","0","1","0","2","0"
"А5 - портрет","148","210","0","0","1","0","1","0"
"А5","210","148","0","0","1","0","1","0"
"А4-Двоен","170","105","0","0","1","0","2","38"
