Документи » Имейли » Кутии,email_Inboxes,bg,"Това е списък с вътрешните пощенски кутии. Всяка кутия е към дадена IMAP сметка, като към някои сметки могат да се създават множество сметки. За повече информация вижте [link=http://www.bgerp.com/Bg/Zadavane-na-IMAP-POP3-akaunt/]Задаване на IMAP/POP3 акаунт[/link]",https://bgerp.com/Bg/Zadavane-na-IMAP-POP3-akaunt/
Документи » Имейли » Рутиране » Автоматично рутиране,email_Router,bg,Това е списък с автоматично генерираните правила за рутиране (разпределяне) на писмата по пощенски кутии. За повече информация прочетете: [link=http://www.bgerp.com/A/a/Rutirane/]Рутиране на имейлите[/link],https://bgerp.com/A/a/Rutirane/
Указател » Календар » Календар » Списък,cal_Calendar,bg,"Тук се съдържа информация за национални, религиозни и международни празници и неработни дни. Включват се и всички задачи, напомняния и рождени дни на Лицата от Визитника. За повече информация прочетете: [link=https://bgerp.com/Bg/Rabota-s-kalendara//]Работа с календара[/link]",https://bgerp.com/Bg/Rabota-s-kalendara//
Указател » Календар » Задачи,cal_Tasks,bg,"Тук се показват всички задачи, създадени от текущия потребител, както и тези, на които той е отговорник (които са му споделени). Задачите в [b]bgERP[/b] са специфичен документ за планиране и/или възлагане на определено действие и проследяване на неговото извършване. За повече информация прочетете:  [link=https://bgerp.com/Bg/Zadachi-i-proekti/]
Задачи и проекти[/link]",https://bgerp.com/Bg/Zadachi-i-proekti/
Указател » Календар » Напомняния,cal_Reminders,bg,"Тук се показват всички Напомняния, на които текущия потребител е отговорник (които са му споделени). Основни предназначения на напомнянията са - нотифициране преди събитието, периодични нотификации, действия при активиране. За повече информация прочетете: [link=http://www.bgerp.com/Bg/Sazdavane-na-napomnyane/]Създаване на напомняне[/link]",https://bgerp.com/Bg/Sazdavane-na-napomnyane/
Указател » Разпращане » Списъци,blast_Lists,bg,"Тук се поддържат контактни списъци за групово изпращане на писма, факсове и имейли, с произволен набор от данни за получателите, с възможност както за ръчно въвеждане, така и за импорт на данните в CSV формат. За повече информация прочетете: [link=http://www.bgerp.com/Bg/Spisatsi-s-kontragenti/]Изпращане на циркулярни имейли и писма[/link]",https://bgerp.com/Bg/Spisatsi-s-kontragenti/
Указател » Разпращане » Имейли,blast_Emails,bg,Тук се създават циркулярни имейли. За повече информация прочетете: [link=https://bgerp.com/Bg/Tsirkulyarni-imeyl/]Циркулярни имейли[/link],https://bgerp.com/Bg/Tsirkulyarni-imeyl/
Указател » Разпращане » Писма,blast_Letters,bg,"Работата с циркулярни писма е аналогична на тази с циркулярни имейли, но с тази разлика, че в края на процеса писмата не се изпращат от системата, а се разпечатват на принтер. За повече информация прочетете: [link=https://bgerp.com/Bg/Tsirkulyarni-pisma/]Циркулярни писма[/link]",https://bgerp.com/Bg/Tsirkulyarni-pisma/
Указател » Разпращане » Блокирани,blast_BlockedEmails,bg,"Тук се съдържа информация за всички адреси, до които да не се изпращат циркулярни съобщения. За повече информация прочетете: [link=http://www.bgerp.com/A/a/Organayzer-Razprashtane/]Указател » Разпращане[/link]",https://bgerp.com/A/a/Organayzer-Razprashtane/
Артикули » Каталог » Списък,cat_Products,bg,"Тук се съдържа информацията за всички артикули - материални и нематериални, които фирмата ползва, произвежда и/или търгува при осъществяване на дейността си. За повече информация прочетете: [link=https://bgerp.com/Bg/Upravlenie-na-artikulite/]Управление на артикулите[/link]",https://bgerp.com/Bg/Upravlenie-na-artikulite/
