7,1,,"Св. Йоан Кръстител (Ивановден)","nameday","ivan, ivana, ivancho, ivanela, ivanina, ivanka, vani, vania, vanina, vanio, vanja, vanka, vankata, vanko, vanq, vanya, vanyo, jan, jana, jane, janet, janeta, jani, janko, ioan, ioana, ioanna, yoan, yoana, yoanna, iovka, iovko, yovka, yovko, jovka, jovko, ivanichka, ivayla, ivaylo, ivailo, ivajlo, ivalin, ivalina, ivam, ivalyn, ivalyna, ivelin, ivelina, ivo, joncho, yoncho, ioncho, jonka, yonka, ionka, ionka, jonka, yonka, jonko, ionko, yonko, yoto, joto"
11,1,,"Преп. Теодосий Велики","nameday","bogdan, bogdana, bogomila, teodosi, teodosyi, teodosii"
12,1,,"Света Татяна","nameday","tatjana, tatyana, tatiana, tania, tanq, tatqna"
14,1,,"Преп. Отци,избити в Синай и Раита. Св.Нина (Отдание на Богоявление)","nameday","adam"
17,1,,"Преп. Антоний Велики (Антоновден)","nameday","anton, antoni, antonia, antonina, antonio, antoniq, antoniy, antoniya, antony, toncho, toni, tonia, tonislav, tonka, tonko, tony, tonya, andon, doncho, donka, donika"
18,1,,"Атанасовден","nameday","atanas, atanaska, atnas, nasco, nasi, naska, nasko, naso, tinka, nacho, tinka, tinko, tanio, tanjo, tanyo"
20,1,,"Св. Евтимий, патриарх Търновски","nameday","evtim, eftim, evtimii"
21,1,,"Преп.Максим Изповедник; Мчк.Неофит","nameday","agnesa, agnes, maskim, max, maxi, maxim, valera, valeri, valeria, valeriq, valeriy, valeriya, valery"
22,1,,"Имен ден","nameday","timotei, timotey"
23,1,,"Имен ден","nameday","kristofar, hristofor, xristofor, hristofora, hrristofer, kristofera"
24,1,,"Имен ден","nameday","aksenia, aksinia, ksenia, oksana"
25,1,,"Св. Григорий Богослов, архиепископ на Цариград","nameday","grigo, grigor, grigorena"
26,1,,"Имен ден","nameday","jivko, zhivko, jivka, zhivka, zoya, zoja, zoia"
1,2,,"Имен ден","nameday","trifon, trifonka, lozan, lozana, lozka, triffon"
3,2,,"Имен ден","nameday","mona, simo, simeon, moni, mony, simeona, simon, simona"
4,2,,"Имен ден","nameday","jeko, zheko, zhelyazko, zhelqzko, zhechka, zhechko, zheko, jechka, jechko, jelyazko, jelyazko"
5,2,,"Имен ден","nameday","agata, dobrinka"
6,2,,"Имен ден","nameday","doroteya, doroteia, doroteq, svetla, svetlozar, svetlozara, fotij, fotyi, ognian, ognyan, ogi, ogy, ognyana, ogniana, ognjan, ognqn, ognyan, plam, plama, plame, plamen, plamena, plamenka, plamenna, plami, plamka, plamcho, plamencho"
9,2,,"Имен ден","nameday","hristina, xristina"
10,2,,"Имен ден","nameday","haralambi, haralampi, xaralambi, xaralampi, lambi, valentin, valentina, valia, valq"
13,2,,"Имен ден","nameday","evlogi, zoq, zoya, zoia"
14,2,,"Св. Валентин","nameday","valenti, valentin, valentina, valentino"
21,2,,"Имен ден","nameday","evstati, ewstati, evstatija, evstatya, evstatiq"
1,3,,"Имен ден","nameday","mart, marti, martina, martini, marto, evdokia"
4,3,,"Имен ден","nameday","gerasim, gera, gercho"
6,3,,"Имен ден","nameday","krasi, krasimir, krasimi, krasimira"
9,3,,"Имен ден","nameday","mladen, mladenka, mladena"
10,3,,"Имен ден","nameday","galia, galin, galina, genoveva"
13,3,,"Имен ден","nameday","nikifor"
20,3,,"Имен ден","nameday","svetlozar, svetlozara"
21,3,,"Имен ден","nameday","jakov, iakov, yakov"
23,3,,"Имен ден","nameday","lidia, lidija, lidiya"
24,3,,"Имен ден","nameday","zahari, zaharin, zaharina, hari, xari, zaxari, zaxarin, zaxarina"
25,3,,"Благовещение","nameday","blago, blagovest, blagovesta, blagoi, blagoj, blagoy, evangelina, vangel, mariana, marijana, marian, marijan"
26,3,,"Имен ден","nameday","gavrail, gavril, gabriela"
28,3,,"Имен ден","nameday","albena, beni, boyan, boian, boycho, boicho, boyana, boiana, boyko, boiko, boika, boyka, bojka, boncho"
6,4,,"Имен ден","nameday","strahil, straxil, ctrahil, ctraxil"
14,4,,"Имен ден","nameday","martin, martina"
18,4,,"Имен ден","nameday","viktor, viktoria, victor, victoria"
21,4,,"Имен ден","nameday","zhelio, jelio, jelyo, zhelyo"
25,4,,"Имен ден","nameday","mark, marko"
28,4,,"Имен ден","nameday","vitali, vitalyi, vitan"
1,5,,"Имен ден","nameday","maia, maya, ermena, ermelina, ermenko, tamara"
2,5,,"Имен ден","nameday","boris, borisla, borislav, borislava, boryana, boriana, borian"
5,5,,"Имен ден","nameday","iren, irin, irina, irena, mira, miroslav, miroslava"
6,5,,"Гергьовден","nameday","georgi, gergana, ginka, galia, gancho, galin, galina, genko, genoveva, gergin, gergina, giuro, zhordz, zhoro, joro"
9,5,,"Имен ден","nameday","hristofor, christofor"
11,5,,"Имен ден","nameday","kiril, metodi, metodii, metody"
17,5,,"Имен ден","nameday","alexii, alexy"
21,5,,"Св. Св. Константин и Елена","nameday","konstantin, koicho, koycho, kosta, kostadin, kostadina, dinka, dinko, elena, eli, elin, elka, ilona, kuncho, lenko, stamen, stoil, stoyan, stoian, stoyanka, traiko"
