1,"Зърнени култури, съдържащи глутен"
2,"Ракообразни и продукти от тях"
3,"Яйца и продукти от тях"
4,"Риба и рибни продукти"
5,"Фъстъци и продукти от тях"
6,"Соя и соеви продукти"
7,"Мляко и млечни продукти"
8,"Ядки – бадеми, орехи, макадамия, лешници, кащу , бразилски орех ,орехи куинсленд"
9,"Целина и продукти от нея"
10,"Синап и продукти от него"
11,"Сусамово семе и продукти от него"
12,"Лупина и продукти от нея"
13,"Серен диоксид и сулфиди"
14,"Мекотели и продукти от тях"

