"Български лев","BGN",active
"Евро","EUR",active
"Щатски долар","USD",active
"Австралийски долар","AUD",closed
"Бразилски реал","BRL",closed
"Канадски долар","CAD",closed
"Швейцарски франк","CHF",closed
"Китайски ренминби юан","CNY",closed
"Чешка крона","CZK",closed
"Датска крона","DKK",closed
"Британска лира","GBP",closed
"Хонгконгски долар","HKD",closed
"Хърватска куна","HRK",closed
"Унгарски форинт","HUF",closed
"Индонезийска рупия","IDR",closed
"Израелски шекел","ILS",closed
"Индийска рупия","INR",closed
"Японска йена","JPY",closed
"Южнокорейски вон","KRW",closed
"Мексиканско песо","MXN",closed
"Малайзийски рингит","MYR",closed
"Норвежка крона","NOK",closed
"Новозеландски долар","NZD",closed
"Филипинско песо","PHP",closed
"Полска злота","PLN",closed
"Нова румънска лея","RON",closed
"Руска рубла","RUB",closed
"Шведска крона","SEK",closed
"Сингапурски долар","SGD",closed
"Тайландски бат","THB",closed
"Турска лира","TRY",closed
"Южноафрикански ранд","ZAR",closed
