784,ВАРНА, ул. СТЕФАН СТАМБОЛОВ 15 
785,ВАРНА - НИКОЛА ВАПЦАРОВ, ул. НИКОЛА Й. ВАПЦАРОВ 5 
786,ВАРНА, ул. ВАСИЛ АПРИЛОВ 28
787,ВАРНА, ул. УСТА КОЛЬО ФИЧЕТО 9 
832,ВАРНА - ЛЕВСКИ (КВ.) 2, ул. ВАСИЛ СТАВРЕВ 2 вх. 1 
833,ВАРНА, кв. АСПАРУХОВО ул. МАРА ТАСЕВА 1 
854,ВАРНА, ул. ГЕН. КОЛЕВ 68 
855,ВАРНА, жк ТРОШЕВО ул. РАДОСТ 9 
856,ВАРНА, жк МЛАДОСТ бл. . ПАЗАР ГЮРЛАТА МОДУЛ 37
871,ВАРНА, ул. ХРИСТО ПОПОВИЧ 3 Д
884,ВАРНА, ул. АЛЕКСАНДЪР ДЯКОВИЧ 2 
885,ВАРНА - ЦВЕТЕН КВАРТАЛ, ул. РОЗА бл. 37 ДО ВХ. Б
9022,ВАРНА - МЕТРО (АВТОМАТ), ИНД. ЗОНА ПЛАНОВА
9023,ВАРНА - МОЛ ВАРНА (АВТОМАТ), бул. ВЛАДИСЛАВ ВАРНЕНЧИК 186 
9068,ВАРНА - КАУФЛАНД БРИЗ (АВТОМАТ), ул. Д-Р ПЕТЪР СКОРЧЕВ 2 
152,ВЕЛИКИ ПРЕСЛАВ, ул. БОРИС СПИРОВ 63 
11,ВЕЛИКО ТЪРНОВО - СКЛАД, с. ЛЕДЕНИК  ул. ШЕСТА 473 
80,ВЕЛИКО ТЪРНОВО, ул. КОЗЛОДУЙ 4 
196,ВЕЛИКО ТЪРНОВО - КАРТАЛА, ул. СТОЯН МИХАЙЛОВСКИ 7 
736,ВЕЛИКО ТЪРНОВО - БУЗЛУДЖА (ЖК), ул. КОНСТАНТИН ПАНИЦА 2 
748,ВЕЛИКО ТЪРНОВО - ТРИЪГЪЛНИКА, ул. КОЛОНЯ ТОВАР 1 
804,ВЕЛИКО ТЪРНОВО - ЦЕНТЪР, ул. АЛЕКСАНДЪР СТАМБОЛИЙСКИ 11 
