4156,с.,Бабек,Брезово,Пловдив,42.442753,25.073891
2683,с.,Бабино,Бобов Дол,Кюстендил,42.358359,22.970044
2668,с.,Бабинска Река,Бобов Дол,Кюстендил,42.331242,22.995076
5726,с.,Бабинци,Тетевен,Ловеч,42.948733,24.268115
2365,с.,Бабица,Брезник,Перник,42.735927,22.954321
4774,с.,Баблон,Смолян,Смолян,41.479216,24.700614
7068,с.,Бабово,Сливо Поле,Русе,43.98352,26.302187
7573,с.,Бабук,Силистра,Силистра,44.012508,27.246304
2784,с.,Бабяк,Белица,Благоевград,41.955328,23.681105
5094,с.,Багалевци,Елена,Велико Търново,42.892813,25.812937
6749,с.,Багра,Кърджали,Кърджали,41.700524,25.322526
2530,с.,Багренци,Кюстендил,Кюстендил,42.279051,22.760483
6944,с.,Багрилци,Крумовград,Кърджали,41.471266,25.79044
6819,с.,Багрянка,Момчилград,Кърджали,41.508672,25.421826
5093,с.,Бадевци,Елена,Велико Търново,42.883736,25.748646
2676,с.,Бадино,Бобошево,Кюстендил,42.17755,23.103512
5087,с.,Баевци,Елена,Велико Търново,42.923356,25.786967
5304,с.,Баевци,Габрово,Габрово,42.811881,25.283756
5095,с.,Баждари,Елена,Велико Търново,42.841186,25.771006
5861,с.,Байкал,Долна Митрополия,Плевен,43.710365,24.422518
2427,с.,Байкалско,Радомир,Перник,42.401361,22.830538
9767,с.,Байково,Хитрино,Шумен,43.459615,26.838011
2133,с.,Байлово,Горна Малина,София,42.656086,23.82054
6698,с.,Бакалите,Черноочене,Кърджали,41.739823,25.228862
2295,с.,Бакьово,Своге,София,42.877656,23.463718
6816,с.,Балабаново,Момчилград,Кърджали,41.571437,25.380348
5615,с.,Балабанско,Троян,Ловеч,42.894797,24.651577
8471,с.,Балабанчево,Сунгурларе,Бургас,42.783139,26.775053
5370,с.,Балалея,Дряново,Габрово,42.990857,25.430946
5301,с.,Баланите,Габрово,Габрово,42.831616,25.372695
2680,с.,Баланово,Дупница,Кюстендил,42.248956,23.05884
5064,с.,Балван,Велико Търново,Велико Търново,43.085271,25.412149
5388,с.,Балванците,Дряново,Габрово,43.019098,25.449775
2948,с.,Балдево,Гърмен,Благоевград,41.629227,23.769419
3797,с.,Балей,Брегово,Видин,44.188794,22.647309
9485,с.,Балик,Тервел,Добрич,43.801231,27.582858
5342,с.,Балиновци,Габрово,Габрово,42.921654,25.380218
6363,с.,Балкан,Стамболово,Хасково,41.766878,25.572668
4245,с.,Балкан Махала,Лъки,Пловдив,41.74659,24.856767
5634,с.,Балканец,Троян,Ловеч,42.837392,24.669696
7265,с.,Балкански,Разград,Разград,43.523573,26.401477
