SiteType,SiteType_EN,SiteName,SiteName_EN,PostCode
гр.,gr.,КАЛОФЕР,KALOFER,4370
гр.,gr.,КАМЕНО,KAMENO,8120
гр.,gr.,КАОЛИНОВО,KAOLINOVO,9960
гр.,gr.,КАРЛОВО,KARLOVO,4300
гр.,gr.,КАРНОБАТ,KARNOBAT,8400
гр.,gr.,КАСПИЧАН,KASPICHAN,9930
гр.,gr.,КЕРМЕН,KERMEN,8870
гр.,gr.,КИЛИФАРЕВО,KILIFAREVO,5050
гр.,gr.,КИТЕН,KITEN,8183
гр.,gr.,КЛИСУРА,KLISURA,4341
гр.,gr.,КНЕЖА,KNEZHA,5835
гр.,gr.,КОЗЛОДУЙ,KOZLODUY,3320
гр.,gr.,КОЙНАРЕ,KOYNARE,5986
гр.,gr.,КОПРИВЩИЦА,KOPRIVSHTITSA,2077
гр.,gr.,КОСТАНДОВО,KOSTANDOVO,4644
гр.,gr.,КОСТЕНЕЦ,KOSTENETS,2030
гр.,gr.,КОСТИНБРОД,KOSTINBROD,2230
гр.,gr.,КОТЕЛ,KOTEL,8970
гр.,gr.,КОЧЕРИНОВО,KOCHERINOVO,2640
гр.,gr.,КРЕСНА,KRESNA,2840
гр.,gr.,КРИВОДОЛ,KRIVODOL,3060
гр.,gr.,КРИЧИМ,KRICHIM,4220
гр.,gr.,КРУМОВГРАД,KRUMOVGRAD,6900
гр.,gr.,КРЪН,KRAN,6140
гр.,gr.,КУБРАТ,KUBRAT,7300
гр.,gr.,КУКЛЕН,KUKLEN,4101
гр.,gr.,КУЛА,KULA,3800
гр.,gr.,КЪРДЖАЛИ,KARDZHALI,6600
гр.,gr.,КЮСТЕНДИЛ,KYUSTENDIL,2500
гр.,gr.,ЛЕВСКИ,LEVSKI,5900
гр.,gr.,ЛЕТНИЦА,LETNITSA,5570
гр.,gr.,ЛОВЕЧ,LOVECH,5500
гр.,gr.,ЛОЗНИЦА,LOZNITSA,7290
гр.,gr.,ЛОМ,LOM,3600
гр.,gr.,ЛУКОВИТ,LUKOVIT,5770
гр.,gr.,ЛЪКИ,LAKI,4241
гр.,gr.,ЛЮБИМЕЦ,LYUBIMETS,6550
гр.,gr.,ЛЯСКОВЕЦ,LYASKOVETS,5140
гр.,gr.,МАДАН,MADAN,4900
гр.,gr.,МАДЖАРОВО,MADZHAROVO,6480
гр.,gr.,МАЛКО ТЪРНОВО,MALKO TARNOVO,8162
гр.,gr.,МАРТЕН,MARTEN,7058
гр.,gr.,МЕЗДРА,MEZDRA,3100
гр.,gr.,МЕЛНИК,MELNIK,2820
гр.,gr.,МЕРИЧЛЕРИ,MERICHLERI,6430
гр.,gr.,МИЗИЯ,MIZIA,3330
гр.,gr.,МОМИН ПРОХОД,MOMIN PROHOD,2035
гр.,gr.,МОМЧИЛГРАД,MOMCHILGRAD,6800
гр.,gr.,МОНТАНА,MONTANA,3400
гр.,gr.,МЪГЛИЖ,MAGLIZH,6180
гр.,gr.,НЕДЕЛИНО,NEDELINO,4990
гр.,gr.,НЕСЕБЪР,NESEBAR,8230
гр.,gr.,НИКОЛАЕВО,NIKOLAEVO,6190
гр.,gr.,НИКОПОЛ,NIKOPOL,5940
гр.,gr.,НОВА ЗАГОРА,NOVA ZAGORA,8900
гр.,gr.,НОВИ ИСКЪР,NOVI ISKAR,1280
гр.,gr.,НОВИ ПАЗАР,NOVI PAZAR,9900
гр.,gr.,ОБЗОР,OBZOR,8250
гр.,gr.,ОМУРТАГ,OMURTAG,7900
гр.,gr.,ОПАКА,OPAKA,7840
гр.,gr.,ОРЯХОВО,ORYAHOVO,3300
гр.,gr.,ПАВЕЛ БАНЯ,PAVEL BANYA,6155
гр.,gr.,ПАВЛИКЕНИ,PAVLIKENI,5200
гр.,gr.,ПАЗАРДЖИК,PAZARDZHIK,4400
гр.,gr.,ПАНАГЮРИЩЕ,PANAGYURISHTE,4500
гр.,gr.,ПЕРНИК,PERNIK,2300
гр.,gr.,ПЕРУЩИЦА,PERUSHTITSA,4225
гр.,gr.,ПЕТРИЧ,PETRICH,2850
гр.,gr.,ПЕЩЕРА,PESHTERA,4550
гр.,gr.,ПИРДОП,PIRDOP,2070
гр.,gr.,ПЛАЧКОВЦИ,PLACHKOVTSI,5360
гр.,gr.,ПЛЕВЕН,PLEVEN,5800
гр.,gr.,ПЛИСКА,PLISKA,9920
гр.,gr.,ПЛОВДИВ,PLOVDIV,4000
гр.,gr.,ПОЛСКИ ТРЪМБЕШ,POLSKI TRAMBESH,5180
гр.,gr.,ПОМОРИЕ,POMORIE,8200
гр.,gr.,ПОПОВО,POPOVO,7800
гр.,gr.,ПОРДИМ,PORDIM,5898
гр.,gr.,ПРАВЕЦ,PRAVETS,2161
гр.,gr.,ПРИМОРСКО,PRIMORSKO,8180
гр.,gr.,ПРОВАДИЯ,PROVADIA,9200
гр.,gr.,ПЪРВОМАЙ,PARVOMAY,4270
гр.,gr.,РАДНЕВО,RADNEVO,6260
гр.,gr.,РАДОМИР,RADOMIR,2400
гр.,gr.,РАЗГРАД,RAZGRAD,7200
гр.,gr.,РАЗЛОГ,RAZLOG,2760
гр.,gr.,РАКИТОВО,RAKITOVO,4640
гр.,gr.,РАКОВСКИ,RAKOVSKI,4150
гр.,gr.,РИЛА,RILA,2630
гр.,gr.,РОМАН,ROMAN,3130
гр.,gr.,РУДОЗЕМ,RUDOZEM,4960
гр.,gr.,РУСЕ,RUSE,7000
гр.,gr.,САДОВО,SADOVO,4122
гр.,gr.,САМОКОВ,SAMOKOV,2000
гр.,gr.,САНДАНСКИ,SANDANSKI,2800
гр.,gr.,САПАРЕВА БАНЯ,SAPAREVA BANYA,2650
гр.,gr.,СВЕТИ ВЛАС,SVETI VLAS,8256
гр.,gr.,СВИЛЕНГРАД,SVILENGRAD,6500
гр.,gr.,СВИЩОВ,SVISHTOV,5250
гр.,gr.,СВОГЕ,SVOGE,2260
гр.,gr.,СЕВЛИЕВО,SEVLIEVO,5400
гр.,gr.,СЕНОВО,SENOVO,7038
гр.,gr.,СЕПТЕМВРИ,SEPTEMVRI,4490
гр.,gr.,СИЛИСТРА,SILISTRA,7500
гр.,gr.,СИМЕОНОВГРАД,SIMEONOVGRAD,6490
гр.,gr.,СИМИТЛИ,SIMITLI,2730
гр.,gr.,СЛАВЯНОВО,SLAVYANOVO,5840
гр.,gr.,СЛИВЕН,SLIVEN,8800
гр.,gr.,СЛИВНИЦА,SLIVNITSA,2200
гр.,gr.,СЛИВО ПОЛЕ,SLIVO POLE,7060
гр.,gr.,СМОЛЯН,SMOLYAN,4700
гр.,gr.,СМЯДОВО,SMYADOVO,9820
гр.,gr.,СОЗОПОЛ,SOZOPOL,8130
гр.,gr.,СОПОТ,SOPOT,4330
гр.,gr.,СОФИЯ,SOFIA,1000
гр.,gr.,СРЕДЕЦ,SREDETS,8300
гр.,gr.,СТАМБОЛИЙСКИ,STAMBOLIYSKI,4210
гр.,gr.,СТАРА ЗАГОРА,STARA ZAGORA,6000
гр.,gr.,СТРАЖИЦА,STRAZHITSA,5150
гр.,gr.,СТРАЛДЖА,STRALDZHA,8680
гр.,gr.,СТРЕЛЧА,STRELCHA,4530
гр.,gr.,СУВОРОВО,SUVOROVO,9170
гр.,gr.,СУНГУРЛАРЕ,SUNGURLARE,8470
гр.,gr.,СУХИНДОЛ,SUHINDOL,5240
гр.,gr.,СЪЕДИНЕНИЕ,SAEDINENIE,4190
гр.,gr.,СЪРНИЦА,SARNITSA,4633
гр.,gr.,ТВЪРДИЦА,TVARDITSA,8890
гр.,gr.,ТЕРВЕЛ,TERVEL,9450
гр.,gr.,ТЕТЕВЕН,TETEVEN,5700
гр.,gr.,ТОПОЛОВГРАД,TOPOLOVGRAD,6560
гр.,gr.,ТРОЯН,TROYAN,5600
гр.,gr.,ТРЪН,TRAN,2460
гр.,gr.,ТРЪСТЕНИК,TRASTENIK,5857
гр.,gr.,ТРЯВНА,TRYAVNA,5350
гр.,gr.,ТУТРАКАН,TUTRAKAN,7600
гр.,gr.,ТЪРГОВИЩЕ,TARGOVISHTE,7700
гр.,gr.,УГЪРЧИН,UGARCHIN,5580
гр.,gr.,ХАДЖИДИМОВО,HADZHIDIMOVO,2933
гр.,gr.,ХАРМАНЛИ,HARMANLI,6450
гр.,gr.,ХАСКОВО,HASKOVO,6300
гр.,gr.,ХИСАРЯ,HISARYA,4180
гр.,gr.,ЦАР КАЛОЯН,TSAR KALOYAN,7280
гр.,gr.,ЦАРЕВО,TSAREVO,8260
гр.,gr.,ЧЕПЕЛАРЕ,CHEPELARE,4850
гр.,gr.,ЧЕРВЕН БРЯГ,CHERVEN BRYAG,5980
