city,lat,lng,population
Криводол,43.3667,23.4833,3346
Белица,41.95,23.5667,3337
Николаево,42.6333,25.8,3298
Шабла,43.5333,28.5333,3276
Драгоман,42.9189,22.9317,3264
Каолиново,43.6167,27.0917,3227
Свети Влас,42.7167,27.7667,3226
Вълчи дол,43.4,27.55,3218
Гурково,42.6606,25.7919,3207
Роман,43.15,23.9167,3131
Мизия,43.6833,23.85,3126
Кула,43.8833,22.5167,3110
Батак,41.9425,24.2181,3099
Калофер,42.6111,24.9761,2984
Павел Баня,42.5972,25.2075,2922
Каблешков,42.6606,27.5647,2911
Долна Оряховица,43.1667,25.7333,2884
Хаджидимово,41.5161,23.8567,2839
Добринище,41.8197,23.5619,2818
Ябланица,43.025,24.1,2810
Лозница,43.3667,26.6,2807
Златарица,43.0442,25.8897,2753
Трън,42.8348,22.6512,2646
Доспат,41.6433,24.1589,2431
Брегово,44.15,22.65,2400
Борово,43.5,25.8,2291
Бойчиновци,43.4719,23.3356,1532
Алфатар,43.95,27.2833,1447
Грамада,43.8342,22.6544,1315
Димово,43.75,22.7333,1107
Брусарци,43.6667,23.0667,1094
Мадан,41.4987,24.9397,1000
Широка Лъка,41.6793,24.5814,1000
Кирково,41.3272,25.3638,1000
Ново Село,44.1586,22.7867,1000
Иваново,43.6857,25.9556,1000
Хайредин,43.6019,23.6613,1000
Ситово,44.0273,27.0198,1000
Ценово,43.5359,25.6576,1000
Бяла,42.8743,27.8886,1000
Борино,41.6841,24.293,1000
Кайнарджа,43.9928,27.5071,1000
Медковец,43.624,23.1688,1000
Дреновец,43.6913,22.9737,1000
Ружинци,43.6218,22.8329,1000
Спасово,43.7017,28.304,1000
Крушари,43.8167,27.7555,1000
Бояница,43.9565,22.5326,1000
Макреш,43.7679,22.6641,1000
Чипрене,43.5181,22.6661,1000
Невестино,42.2555,22.8517,1000
