key,day,base,weekday,year,title,type,info,nameday
,13,2,,,"Преп. Мартиниан. Св. Евлогий, архиеп. Александрийски. Преп. Зоя (Живка) и Фотина (Светлана) ",nameday,,"evlogi, zoq, zoya, zoia"
,14,2,,,Св. Валентин,nameday,,"valenti, valentin, valentina, valentino"
,21,2,,,"Преп. Тимотей. Св. Евстатий, архиеп. Антиохийски ",nameday,,"evstati, ewstati, evstatija, evstatya, evstatiq"
,1,3,,,Св. прпмчца Евдокия ,nameday,,"mart, marti, martina, martini, marto, evdokia"
,4,3,,,Православна. реп. Герасим Йордански,nameday,,"gerasim, gera, gercho"
,6,3,,,Св. 42 мчци в Амория ,nameday,,"krasi, krasimir, krasimi, krasimira"
,9,3,,,Св. 40 мчци Севастийски. Св. мчк Исихий Доростолски,nameday,,"mladen, mladenka, mladena"
,10,3,,,"Св. мчци Кодрат и Галина, Ника (Виктория), Леонид",nameday,,"galia, galin, galina, genoveva"
,13,3,,,"Св. Никифор, 3 патр. Константинополски.",nameday, ,nikifor
,20,3,,,"Преп. отци, избити в манастира „Св. Сава“. ",nameday,,"svetlozar, svetlozara"
,21,3,,,Преп.Йоан Лествичник. Св. преподобни Иаков Изповедник ,nameday,,"jakov, iakov, yakov"
,23,3,,,Св. прпмчци Никон. Препмчк Лука Одрински,nameday,,"lidia, lidija, lidiya"
,24,3,,,"Св. преподобни Захария. Св. Артемий, епископ Селевкия.Св. Артемий, епископ Солунски",nameday,,"zahari, zaharin, zaharina, hari, xari, zaxari, zaxarin, zaxarina"
,25,3,,,Благовещение,nameday,,"blago, blagovest, blagovesta, blagoi, blagoj, blagoy, evangelina, vangel, mariana, marijana, marian, marijan"
,26,3,,,"Събор на св. архангел Гавриил.Мчци Алла и Лариса. Св. мчк Георги Софийски, Стари (1473)",nameday,,"gavrail, gavril, gabriela"
,28,3,,,"Преп. Иларион Нови и Стефан чудотворец изп. Свщмчци Георги, еп. Зографски и Петър, презв. Мъгленски. Св. мчк Енравота-Боян, княз Български (|833)",nameday,,"albena, beni, boyan, boian, boycho, boicho, boyana, boiana, boyko, boiko, boika, boyka, bojka, boncho"
,6,4,,,"Успение на св. Методий Славянобългарски, архиеп. Моравски (|855). Св. Евтихий, патр. Цариградски. Св. мчци Тимотей и Диоген ",nameday, ,"strahil, straxil, ctrahil, ctraxil"
,14,4,,,"Св. Мартин, папа Римски ",nameday,,"martin, martina"
,18,4,,,Светла сряда. Преп. Йоан. Св. мчк. Виктор ,nameday,,"viktor, viktoria, victor, victoria"
,21,4,,,Св. свщмчци Януарий и Теодор в Пергия ,nameday,,"zhelio, jelio, jelyo, zhelyo"
,25,4,,,Св. ап. и ев. Марк. ,nameday,,"mark, marko"
,28,4,,,Свв. апп. от 70-те: Иасон и Сосипатър,nameday,,"vitali, vitalyi, vitan"
,1,5,,,Св. прор. Иеремия. Прпмчк Акакий Серски. Св. Тамара царица Грузинска. ,nameday,,"maia, maya, ermena, ermelina, ermenko, tamara"
,2,5,,,"Св. благоверен и равноап. цар Борис, в кръщение -Михаил",nameday,,"boris, borisla, borislav, borislava, boryana, boriana, borian"
,5,5,,,Св. вмчца Ирина ,nameday,,"iren, irin, irina, irena, mira, miroslav, miroslava"
,6,5,,,Гергьовден,nameday,,"georgi, gergana, ginka, galia, gancho, galin, galina, genko, genoveva, gergin, gergina, giuro, zhordz, zhoro, joro"
,9,5,,,Св. прор. Исаия. Св. мчк Христофор. Пренасяне мощите на св. Николай Мирликийски чудотворец ,nameday,,"hristofor, christofor"
,11,5,,,Св. равноапостолни Методий и Кирил. Св. свщмчк Мокий ,nameday,,"kiril, metodi, metodii, metody"
,17,5,,,Св. ап. Андроник и св. Иуния. Св. мчк Николай Софийски,nameday,,"alexii, alexy"
,21,5,,,Св. Св. Константин и Елена,nameday,,"konstantin, koicho, koycho, kosta, kostadin, kostadina, dinka, dinko, elena, eli, elin, elka, ilona, kuncho, lenko, stamen, stoil, stoyan, stoian, stoyanka, traiko"
,26,5,,,Св. ап Карп. Св. мчк Георги Софийски,nameday,,"karp, karpo"
,30,5,,,Преп. Исакий Далматски. Св. Емилия ,nameday,,"emil, emilia, emilian, emiliana"
,4,6,,,"Свети Дух. Св. Митрофан, патр. Константинополски. Св. мчци Фронтасий, Северин и др. Св. свщмчк Астий, еп. Дирахийски",nameday,,marta
,7,6,,,"Св. свщмчк Теодот, еп. Анкирски. Св. мчца Валерия ",nameday,,"valeri, valerii, valeria"
,10,6,,,"Св. свщмчк Тимотей, еп. Брусенски ",nameday,,antonina
,15,6,,,Св. прор. Амос. Св. мчк Исихий Доростолски.,nameday,,"avgustin, augustin, vitan, vitomir"
,20,6,,,"Преп. Наум Охридски. Св. свщмчк Методий, еп. Патарски",nameday,,"biser, bisera, naum"
,21,6,,,Св. мчк Юлиан Тарсийски. Преп. Юлий презвитер и Юлиан дякон,nameday,,"iavor, iasen"
,24,6,,,Еньовден,nameday,,"enio, iasen, encho, enjo, yani, iani, ianislav"
,28,6,,,Пренасяне мощите на св. безсребреници и чудотворци Кир и Йоан. ,nameday, ,david
,29,6,,,Св. първовърховни апли Петър и Павел. (Петровден) ,nameday,,"petar, petra, pavlin, pavlina, petrana, peco, petso, petia, petja, polina, kamen, pavel, peio, penka, pencho"
,30,6,,,Събор на Светите 12 апостоли,nameday,,apostol
,1,7,,,в. безсребр. Козма и Дамян. Възвръщане честните мощи на преп. Йоан Рилски чудотворец ,nameday,,"kozma, kuzman, dame, damian, krasimir, krasimira, krasina"
,3,7,,,"Св. мчк Иакинт. Св. Анатолий, патр. Константинополски",nameday,,"anatoli, anatolii, anatoliy, anatoly"
