key,day,base,weekday,year,title,type,info,nameday
,27,8,,,Ден на независимостта,MD,"от СССР, 1991 г.",
,19,11,,,Ден на принца,MC,Ден на принца,
,11,7,,,Ден на революцията и независимостта,MN,"от Китай, 1921 г.",
,21,3,,,Ден на независимостта,NA,"Ден на независимостта — от ЮАР, 1990 г.",
,31,1,,,Ден на независимостта,NR,"Ден на обявяване на независимостта — от Великобритания, Австралия и Нова Зеландия, 1968 г.",
,18,2,,,Ден на мъчениците,NP,Ден на мъчениците,
,28,12,,,Ден на републиката,NP,Рожден ден на краля и Ден на републиката — 2007 г.,
,18,12,,,Ден на републиката,NE,"Ден на републиката, 1958 г.",
,1,10,,,Ден на независимостта,NG,"Ден на независимостта — от Великобритания, 1960 г.",
,30,4,,,Национален празник,NL,Официално честване на рожденния ден на кралица Беатрикс,
,6,2,,,Годишнина на договора Вайтанга,NZ,Годишнина на договора Вайтанга — 1840 г.,
,17,5,,,Ден на конституцията,NO,Ден на конституцията — 1814 г.,
,2,12,,,Годишнина от създаването на федерацията,AE,Годишнина от създаването на федерацията — 1971 г.,
,23,3,,,Ден на републиката,PK,първата ислямска република в света през 1956 г.) и 14 август (Ден на независимостта — от Великобритания и отделянето на държавата от Индия през 1947 г.,
,9,7,,,Ден на конституцията,PW,Ден на конституцията — 1981 г.,
,3,11,,,Отделяне на държавата като самостоятелна,PA,"Отделяне на държавата като самостоятелна от Колумбия, 1903 г.",
,15,5,,,Ден на независимостта,PY,"Ден на независимостта — от Испания, 1811 г.",
,28,7,,,Ден на независимостта,PE,"от Испания, 1821 г.",
,3,5,,,Ден на конституцията,PO,Ден на конституцията,
,11,11,,,Ден на независимостта,PO,"от Австро-Унгария, Германия и Русия, 1918 г.",
,10,6,,,Ден на Португалия,PT,"по повод деня в памет на националния поет Луиш ди Камоинш, 1850 г.",
,1,12,,,Годишнина,RO,"Годишнина от възвръщането на Трансилвания и обединението на Румъния, 1918 г.",
,12,6,,,Ден на Русия,RU,празнува се от 1990 г.,
,3,9,,,Ден на републиката,SM,"най-старата република в света, 301 г.",
,23,9,,,Празник на обединението на кралството,SA,Празник на обединението на кралството — 1923 г.,
,8,9,,,Северна Корея,KR,Създаване на Корейската народно-демократична република през 1948 г.,
,9,8,,,Ден на Сингапур,SG,отделяне от Малайзия като самостоятелна държава през 1965 г.,
,29,8,,,Словашко национално въстание,SK,"Словашко национално въстание, срещу окупацията на Хитлеристка Германия, 1944 г.",
,1,9,,,Ден на конституцията,SK,Ден на конституцията — 1992 г.,
,25,6,,,Ден на независимостта,SI,"от Югославия, 1991 г.",
,4,7,,,Декларация независимост от Великобритания,US,"Декларация независимост от Великобритания, 1776 г.",
,15,2,,,Избухване на Първото сръбско въстание,RS,Избухване на Първото сръбско въстание за независимост от Османската империя — 1804 г.,
,9,9,,,Ден на независимостта,TJ,"Ден на независимостта — от СССР, 1991 г.",
,10,10,,,Ден на републиката,TW,по повод създаването на Китайска република през 1911 г.,
,5,12,,,Рожден ден на краля,TH,"Рожден ден на краля, 1927 г.",
,27,10,,,Ден на независимостта,TM,"Ден на независимостта — от СССР, 1991 г.",
,29,10,,,Ден на републиката,TR,"отказване от статута на Османска империя, 1923 г.",
,24,8,,,Ден на независимостта,UA,"от СССР, 1991 г.",
,15,3,,,Ден на революцията,HU,"Ден на революцията, 1848 г.",
,20,8,,,Ден на Свети Ищван I,HU,Ден на Свети Ищван I — първи крал и основател на държавата,
,23,10,,,Ден на републиката и революцията,HU,"Ден на републиката и революцията, 1956 г.",
,25,8,,,Декларация за независимост,UY,"Декларация за независимост — от Бразилия, 1825 г.",
,1,9,,,Ден на независимостта,UZ,"Ден на независимостта — от СССР, 1991 г.",
,10,10,,,Ден на независимостта,FJ,"Ден на независимостта — от Великобритания, 1970 г.",
,12,6,,,Ден на независимостта,PH,"Ден на независимостта — от Испания, 1898 г.",
,6,12,,,Ден на независимостта,FI,"от Русия, 1917 г.",
,14,7,,,Годишнина от превземането на Бастилията,FR,"начало на Френската революция, 1789 г.",
,25,6,,,Ден на независимостта,HR,"от Югославия, 1991 г.",
,1,12,,,Ден на републиката,CF,"Ден на републиката — 1958 г., получена автономия от Франция",
,11,8,,,Ден на независимостта,TD,"Ден на независимостта — от Франция, 1960 г.",
,13,7,,,Международно призната за независима държава,ME,"Международно призната за независима държава — Берлински конгрес, 1878 г. и Годишнина от антифашисткото въстание — 1941 г.",
,28,10,,,Ден на въстановената независимост,CZ,"от Австро-Унгария, 1918 г.",
,18,9,,,Ден на първото правителство на Чили,CL,"Ден на първото правителство на Чили от 1810 г., което дава началото на борбата за независимост от Испания през 1818 г.",
,6,6,,,Ден на независимостта,SE,"от анексията на Дания, 1523 г.",
,1,8,,,Ден на федерацията,CH,"Ден на федерацията срещу Свещената Римска империя, 1291 г.",
,27,4,,,Ден на свободата,ZA,"отбелязва се първото участие на чернокожото население в избори през 1994 г., след политиката на апартейд",
,15,8,,,Южна Корея,KR,"Ден на независимостта — от Япония, 1945 г.",
,11,2,,,Възникване на нацията,JP,"по повод изкачването на първия император на трона, 660 пр.н.е.",
,3,5,,,Ден на конституцията,JP,Ден на конституцията — 1947 г.,
,8,,,,Ден на независимостта,JM,"първият понеделник на август - Ден на независимостта — от Великобритания, 1962 г.",
,1,11,,,Ден на Вси Светии,AT,Ден на Вси Светии,
,15,2,,,Ден на освобождението,AF,Liberation Day,
,21,3,,,Нова Година в Афганистан,AF,New Year's Day,
,28,4,,,Победа на муджахидините,AF,Mujahideen Victory Day,
,5,7,,,Ден на независимостта,DZ,1962,
,24,3,,,Национален ден на памет за истина и справедливост,AR,Национален ден на памет за истина и справедливост,
,2,4,,,Ден на ветераните и Мемориал в Фолклендската война,AR,Ден на ветераните и Мемориал в Фолклендската война,
,-3,CEST,,,Велики четвъртък,AR,Четвъртъка преди Великден,
,-2,CEST,,,Разпети петък,AR,Петъкът преди Великден,
,9,7,,,Декларация за независимост,AR,Годишнина от Декларацията за независимост,
,20,11,,,Ден на националния суверенитет,AR,Ден на националния суверенитет. Годишнина от битката на Vuelta de Obligado,
,8,12,,,Непорочно зачятие на Мария,AR,Непорочното зачатие на Мария,
,24,4,,,Ден за възпоменание на геноцида,AM,Арменски Ден за възпоменание на геноцида,
,4,1,,,Ден на мъчениците,AO,Colonial Repression Martyrs' Day,
,25,1,,,Ден на Луанда,AO,Ден на Луанда / Luanda's Day,
,4,2,,,Ден на въоръжената борба,AO,Ден на въоръжената борба в памет на бунта на Baixa de Cassanje,
,4,4,,,Ден на мира и помирението,AO,Ден на мира и помирението. Край на Гражданската война в Ангола,
,25,5,,,Ден на Африка,AO,Ден на Африка,
,17,9,,,Ден на Agostinho Neto,AO,Ден на Agostinho Neto  и Националната Ден на героите,
,2,11,,,Ден на всички души,AO,Ден на всички души,
,6,1,,,Богоявление,AM,Богоявление,
,9,5,,,Ден на мира,,Ден на мира,
,5,7,,,Ден на Конституцията,AM,Ден на Конституцията,
,21,9,,,Ден на независимостта,AM,Ден на независимостта,
,25,4,,,Ден на армията на Австралия и Нова Зеландия,AU,Ден на армията на Австралия и Нова Зеландия,
,6,1,,,Богоявление,AT,Богоявление,
,1,CEST,,,Велики понеделник,AT,Велики понеделник или  Egg Nyte,
,39,CEST,,,Празник на възнесението,AT,"Празникът на Възнесение Господне, известен още като Възнесение четвъртък, Велики четвъртък или Възнесение Господне. Чества телесна възнесението на Исус в небето",
,49,CEST,,,Петдесетница,AT,"Петдесетница (също Петдесетница, Петдесетница неделя или Петдесетница)",
,60,CEST,,,Празникът на Корпус Кристи,AT,"Тайната вечеря. Четвъртък, след Троица неделя (60 дни след Великден)",
,15,8,,,Успение на Пресвета Богородица,AT,Успение на Пресвета Богородица,
,8,12,,,Празник на непорочното зачатие,AT,Празник на непорочното зачатие. Магазините отварят за Коледно пазаруване,
,20,1,,,Черен януари,AZ,Ден на мъчениците,
,15,6,,,Ден на национално спасение,AZ,Ден на национално спасение,
,26,6,,,Ден на армията и флота,AZ,Ден на армията и флота,
,12,11,,,Ден на конституцията,AZ,Ден на конституцията,
,31,12,,,Ден на международната солидарност,AZ,Ден на международната солидарност,
,4,5,,,Ден на труда,BS,Ден на труда,
,11,10,,,Ден на Колумб,BS,Ден на Колумб / Ден на откривателя,
,26,10,,,Димитровден,nameday,,"Димитър, Димитрина, Деметра, Димо, Дима, Димка, Димитричка, Димчо, Димана, Драган, Митко, Митка, Митра, Митрана, Мита"
