409,Други задължения към доставчици,,,Доставчици&nbsp;(102),,
41,Клиенти и свързани с тях сметки,,,,,
411,Вземания от клиенти,,,Клиенти&nbsp;(103),,
412,Задължения към клиенти по аванси,,,Клиенти&nbsp;(103),,
413,Вземания от клиенти по търговски кредити,,,Клиенти&nbsp;(103),,
414,Вземания от клиенти по продажби при определени условия - факторинг и др.,,,Клиенти&nbsp;(103),,
415,Вземания от клиенти свързани лица,,,Клиенти&nbsp;(103),,
419,Други вземания от клиенти,,,Клиенти&nbsp;(103),,
42,Персонал и Съдружници,,,,,
421,Задължения към персонал,,,,,
422,Разчети с подотчетни лица,,,Подотчетни лица&nbsp;(106),,
423,Задължения по неизползвани отпуски,,,,,
424,Вземания от съучастия,,,"Дъщерни, асоциирани и смесени предприятия&nbsp;(107)",,
425,Задължения за съучастия,,,Съдружници&nbsp;(100),,
426,Вземания по записани дялови вноски,,,Съдружници&nbsp;(100),,
429,Други разчети с персонала и съдружниците,,,"Разни: доверители, гаранции, застраховане, др.&nbsp;(109)",,
44,"Вземания по Липси, Начети и Съдебни спорове",,,,,
441,Вземания по рекламации,,,Доставчици&nbsp;(102),,
442,Вземания по липси и начети,,,Подотчетни лица&nbsp;(106),,
443,Ценови разлики по липси и начети,,,Подотчетни лица&nbsp;(106),,
444,Вземания по съдебни спорове,,,"Разни: доверители, гаранции, застраховане, др.&nbsp;(109)",,
445,Присъдени вземания,,,"Разни: доверители, гаранции, застраховане, др.&nbsp;(109)",,
45,Разчети с бюджета и с ведомства,,,,,
451,Разчети с общините,,,,,
4521,Разчети за Годишен корпоративен данък,,,Година&nbsp;(4),,
4522,Разчети за Авансов корпоративен данък,,,,,
4531,Начислен ДДС за покупките,,,,,
4532,Начислен ДДС за продажбите,,,,,
4533,Начислен ДДС по ВОП,,,,,
4534,Начислен ДДС отпадъци от опаковки външен пазар,,,,,
4538,ДДС за възстановяване,,,,,
4539,ДДС за внасяне,,,,,
454,Разчети за данъци върху доходи на физически лица,,,,,
456,Разчети за акцизи,,,,,
457,Разчети с митници,,,,,
459,Данъчни разчети с бюджета,,,Видове данъци и такси&nbsp;(5),,
46,Разчети с осигурители,,,,,
461,Разчети за задължително социално осигуряване,,,,,
462,Разчети за доброволно социално осигуряване,,,,,
463,Разчети за здравно осигуряване,,,,,
469,Други разчети с осигурители,,,,,
49,Разни дебитори и кредитори,,,,,
491,Разчети с Доверители,,,"Разни: доверители, гаранции, застраховане, др.&nbsp;(109)",,
492,Разчети за гаранции,,,"Разни: доверители, гаранции, застраховане, др.&nbsp;(109)",,
493,Разчети със собственици,,,Съдружници&nbsp;(100),,
494,Разчети по отсрочени данъци,,,,,
495,Разчети по застраховане,,,"Разни: доверители, гаранции, застраховане, др.&nbsp;(109)",,
496,Разчети по лихви,,,,,
497,Провизии,,,,,
498,Други дебитори,,,Дебитори&nbsp;(105),,
499,Други кредитори,,,Кредитори&nbsp;(104),,
5,СМЕТКИ ЗА ФИНАНСОВИ СРЕДСТВА,,,,,
501,Каси в лева,,,Локации&nbsp;(2),,
502,Каси във валута,,,Локации&nbsp;(2),Валути&nbsp;(1),
503,Разплащателни сметки,,,,,
5031,Разплащателни сметки в лева,,,,,
5032,Разплащателни сметки във валута,,,,Валути&nbsp;(1),
5033,Разплащателни сметки ОП Конкурентноспособност,,,,Валути&nbsp;(1),
6,СМЕТКИ ЗА РАЗХОДИ,,,,,
60,Разходи по икономически елементи,,,,,
601,Разходи за материали,,,вътр. Документ за ПОКУПКИ&nbsp;(111),,
602,Разходи за външни услуги,,,вътр. Документ за ПОКУПКИ&nbsp;(111),,
603,Разходи за амортизация,,,,,
604,Разходи за заплати (възнаграждения),,,,,
605,Разходи за осигуровки,,,,,
606,"Разходи за данъци, такси и други подобни плащания",,,,,
607,Разходи за провизии,,,,,
608,Разходи от последващи оценки на активи,,,,,
609,Други разходи,,,,,
61,Разходи за Дейността,,,,,
611,Разходи за основна дейност,,,,,
612,Разходи за спомагателна дейност,,,,,
613,Разходи за придобиване на дълготрайни активи,,,,,
614,Административни разходи,,,,,
615,Разходи за продажби,,,,,
618,Разходи по програми със средства от европейски фондове,,,,,
62,Финансови разходи,,,,,
621,Разходи за лихви,,,,,
624,Разходи по валутни операции,,,,,
625,Разходи от последващи оценки на финансови активи и инструменти,,,,,
629,Други финансови разходи,,,,,
65,Разходи за Бъдещи периоди,,,,,
651,Нефинансови разходи за бъдещи периоди,,,,,
652,Финансови разходи за бъдещи периоди,,,,,
69,Извънредни Разходи,,,,,
691,Отписани вземания,,,,,
