21339,"ЕК Бургас, ул. Индустриална 51",8000,"42.483520915086,27.44468132206",100
21358,"ЕК Бяла Слатина, ул. Васил Левски 14",3200,"43.471597088166,23.946506414225",100
21359,"ЕК Бяла, Русенско, ул. Иван Вазов 15",7100,"43.461418157359,25.736637728558",100
21361,"ЕК Варна - Западна промишлена зона, ул. Перла 20",9000,"43.219281025375,27.863857389345",100
21362,"ЕК Варна 24/7 Еконтомат - МОЛ Варна, бул. Владисла",9000,"43.220109472449,27.889346093254",100
21363,ЕК Варна 24/7 Еконтомат - ОМВ бул. Владислав Варне,9000,"43.21593,27.89713",100
21364,"ЕК Варна 24/7 Еконтомат ОМВ ул. Мир, ул. Мир 1",9000,"43.219249813267,27.927014867563",100
21365,"ЕК Варна 27-ми юли, ул. 27-ми юли 14",9000,"43.20417,27.91857",100
21366,"ЕК Варна 8-ми Приморски полк, бул. Осми Приморски ",9000,"43.225961393745,27.946500230255",100
21367,"ЕК Варна Аспарухово, ж.к. Дружба 2",9000,"43.1822675,27.8971477",100
21368,"ЕК Варна Бенковски, ул. Сава Доброплодни 13",9000,"43.207543935234,27.907223900226",100
21369,"ЕК Варна Битоля, ул. Джеймс Баучер 3",9000,"43.218160629633,27.920623104785",100
21370,"ЕК Варна Бриз, ул. Д-р Василаки Пападопулу 47",9000,"43.21920200775,27.955705423279",100
21371,"ЕК Варна Виница, ул. Цар Борис III 16",9000,"43.243805769152,27.979626575567",100
21372,"ЕК Варна Владиславово Ниш, ул. Ниш 33",9000,"43.246651537995,27.853583644458",100
21374,"ЕК Варна Възраждане 3, ул. Поп Димитър 12",9000,"43.233237745448,27.8969012111",100
21375,"ЕК Варна Възраждане Майка Тереза, ул. Майка Тереза",9000,"43.237002754212,27.872986882687",100
21376,"ЕК Варна Доктор А. Железкова, ул. Доктор Анастасия",9000,"43.218765975738,27.927342485428",100
21377,"ЕК Варна ЖП Гара, ул. Шабла 1",9000,"43.1997118,27.9106104",100
21378,"ЕК Варна Кайсиева градина, бул. Цар Освободител 25",9000,"43.235092142068,27.856997564197",100
21379,"ЕК Варна кв. Траката, бул. Княз Борис I 189",9000,"43.22256554433,27.978048306885",100
21380,"ЕК Варна Колхозен пазар, ул. Стара планина 41-43",9000,"43.210797353722,27.899063143903",100
21382,"ЕК Варна Левски Технически университет, ул. Народе",9000,"43.221600063487,27.93446457106",100
21381,"ЕК Варна Левски, ул. Васил Ставрев 2",9000,"43.226685844556,27.92333628738",100
21383,"ЕК Варна Младост Гюрлата,  ",9000,"43.230224329194,27.870313092377",100
21384,"ЕК Варна Пазар Младост, ул. Димитър ефендулов 0",9000,"43.228329622846,27.884272029953",100
21385,"ЕК Варна Патриарха, ул. Калофер 2",9000,"43.2146505,27.8997783",100
21386,"ЕК Варна Победа, ул. Петко Стайнов 12",9000,"43.225306717612,27.900033697815",100
21387,"ЕК Варна Спартак, ул. Неофит Рилски 22",9000,"43.218095893412,27.906393941306",100
21388,"ЕК Варна Трошево, ул. Радост 8",9000,"43.224268372913,27.880313089447",100
21389,"ЕК Варна Христо Ботев, бул. Христо Ботев 18",9000,"43.20399794985,27.901402101102",100
21390,"ЕК Варна Цветен квартал, ул. Бели лилии 20",9000,"43.22328,27.91283",100
21392,"ЕК Варна Чайка Експресна Станция,  ",9000,"43.215473004522,27.944521457672",100
21391,"ЕК Варна Чайка, ул. Рупи 3",9000,"43.215471653545,27.944519808845",100
21393,"ЕК Варна Чаталджа, ул. Княз Николаевич 34",9000,"43.212558980904,27.926000200358",100
21394,"ЕК Варна Червен площад, ул. Цар Асен 50",9000,"43.211621892704,27.919912719049",100
21360,"ЕК Варна, бул. Република 59",9000,"43.224610892528,27.874231180506",100
21395,"ЕК Велики Преслав, ул. Борис Спиров 28",9850,"43.161689391913,26.81829243",100
21397,"ЕК Велико Търново 24/7 Еконтомат МОЛ, ул. Оборище ",5000,"43.078873474732,25.600234635582",100
21398,"ЕК Велико Търново Бузлуджа, ул. Димитър Благоев 40",5000,"43.072434926016,25.605952148995",100
21399,"ЕК Велико Търново България, бул. България 21",5000,"43.078837223379,25.620287553234",100
21400,"ЕК Велико Търново Зоната, ул. Стоян Коледаров 44",5000,"43.069401895365,25.618674169312",100
21401,"ЕК Велико Търново Картала, ул. Стоян Михайловски 9",5000,"43.0840424649,25.622837236481",100
21402,"ЕК Велико Търново Мизия, ул. Мизия 28",5000,"43.073605139851,25.618945860119",100
21403,"ЕК Велико Търново пл. Славейков, пл. Пенчо Славейк",5000,"43.084886903529,25.635844871025",100
21404,"ЕК Велико Търново Христо Ботев, ул. Христо Ботев 2",5000,"43.07951,25.63369",100
